ID,fmc,lai,landcover,n,soil,443,490,560,665,705,740,783,842,865,945,1375,1610,2190
1,20.83333333,1.42669978,forest,2,1_newsoil.txt,0.04031,0.049671,0.076868,0.087759,0.12144,0.20231,0.24001,0.25976,0.26846,0.28897,0.26471,0.30044,0.20856
2,20.83333333,1.42669978,forest,2,1_newsoil.txt,0.033456,0.040401,0.063906,0.06718,0.099146,0.20084,0.24649,0.26449,0.27273,0.29131,0.25896,0.27263,0.16929
3,20.83333333,1.42669978,forest,2,1_newsoil.txt,0.027683,0.032492,0.052958,0.049173,0.080043,0.20238,0.25585,0.27231,0.28016,0.297,0.25684,0.24996,0.13521
4,20.83333333,1.42669978,forest,2,1_newsoil.txt,0.023894,0.027087,0.045717,0.035899,0.066817,0.20949,0.27051,0.28579,0.29338,0.30882,0.2614,0.23675,0.11069
5,20.83333333,1.23237228,forest,2,1_newsoil.txt,0.041301,0.050995,0.078798,0.090601,0.12479,0.20314,0.23922,0.25933,0.26813,0.28905,0.26647,0.30636,0.21489
6,20.83333333,1.23237228,forest,2,1_newsoil.txt,0.034843,0.042259,0.066607,0.071201,0.10386,0.20172,0.24496,0.26347,0.27184,0.29101,0.26116,0.28088,0.17824
7,20.83333333,1.23237228,forest,2,1_newsoil.txt,0.029367,0.034762,0.056247,0.054144,0.085822,0.20299,0.25325,0.27034,0.27833,0.29591,0.25905,0.25995,0.14627
8,20.83333333,1.23237228,forest,2,1_newsoil.txt,0.0257,0.029545,0.049256,0.041396,0.073115,0.20921,0.26622,0.2822,0.28994,0.30622,0.26283,0.24738,0.12291
9,20.83333333,1.05526548,forest,2,1_newsoil.txt,0.042407,0.052473,0.080937,0.093786,0.12849,0.20397,0.23845,0.25893,0.26782,0.28916,0.26827,0.31249,0.22178
10,20.83333333,1.05526548,forest,2,1_newsoil.txt,0.036398,0.044344,0.069619,0.075731,0.10909,0.20263,0.24346,0.2625,0.271,0.29078,0.26342,0.28947,0.18803
11,20.83333333,1.05526548,forest,2,1_newsoil.txt,0.031272,0.037331,0.059945,0.059781,0.09229,0.20366,0.25071,0.26845,0.27661,0.29495,0.26137,0.27042,0.15845
12,20.83333333,1.05526548,forest,2,1_newsoil.txt,0.027774,0.032367,0.053294,0.047708,0.08026,0.20903,0.26205,0.27876,0.28668,0.30382,0.26446,0.25867,0.13654
13,20.83333333,0.89257421,forest,2,1_newsoil.txt,0.043631,0.05411,0.083293,0.097326,0.13256,0.20483,0.23769,0.25855,0.26754,0.2893,0.2701,0.31879,0.22923
14,20.83333333,0.89257421,forest,2,1_newsoil.txt,0.038127,0.046667,0.072952,0.080787,0.11487,0.20359,0.24201,0.26158,0.27023,0.29061,0.26575,0.29834,0.19867
15,20.83333333,0.89257421,forest,2,1_newsoil.txt,0.033407,0.04021,0.064063,0.066113,0.099464,0.20439,0.24824,0.26666,0.27499,0.2941,0.26381,0.2813,0.17175
16,20.83333333,0.89257421,forest,2,1_newsoil.txt,0.030128,0.03557,0.057848,0.054872,0.088273,0.20896,0.258,0.27549,0.2836,0.30163,0.26628,0.27053,0.15155
17,20.83333333,0.74212736,forest,2,1_newsoil.txt,0.044978,0.055913,0.085869,0.10123,0.13698,0.20571,0.23696,0.2582,0.26729,0.28948,0.27195,0.32525,0.23723
18,20.83333333,0.74212736,forest,2,1_newsoil.txt,0.040039,0.049234,0.076612,0.086389,0.12118,0.20458,0.24059,0.26072,0.26951,0.29051,0.26814,0.30745,0.21012
19,20.83333333,0.74212736,forest,2,1_newsoil.txt,0.03578,0.043412,0.068614,0.073164,0.10736,0.20519,0.24585,0.26497,0.27349,0.29338,0.26635,0.29253,0.18614
20,20.83333333,0.74212736,forest,2,1_newsoil.txt,0.032773,0.039166,0.062931,0.062919,0.097172,0.209,0.2541,0.27239,0.28069,0.29964,0.26828,0.28291,0.16793
21,20.83333333,0.60221019,forest,2,1_newsoil.txt,0.046451,0.057886,0.088672,0.10552,0.14178,0.20661,0.23626,0.25788,0.26708,0.28969,0.27383,0.33183,0.24576
22,20.83333333,0.60221019,forest,2,1_newsoil.txt,0.042138,0.052054,0.080608,0.092556,0.12804,0.20561,0.23924,0.25993,0.26887,0.29048,0.27058,0.31677,0.22238
23,20.83333333,0.60221019,forest,2,1_newsoil.txt,0.0384,0.046946,0.073607,0.08096,0.11598,0.20606,0.24355,0.26339,0.27209,0.29278,0.26898,0.30408,0.20161
24,20.83333333,0.60221019,forest,2,1_newsoil.txt,0.03572,0.043171,0.06856,0.071882,0.10697,0.20915,0.25033,0.26945,0.27798,0.29785,0.27045,0.29573,0.18565
25,20.83333333,1.42669978,forest,2,2_newsoil.txt,0.030291,0.037013,0.057675,0.063837,0.090237,0.1602,0.19138,0.20571,0.21211,0.22682,0.20612,0.22695,0.15345
26,20.83333333,1.42669978,forest,2,2_newsoil.txt,0.026261,0.031305,0.050022,0.049991,0.076417,0.16747,0.20655,0.21981,0.226,0.23944,0.21122,0.21414,0.12827
27,20.83333333,1.42669978,forest,2,2_newsoil.txt,0.022998,0.026564,0.0438,0.037972,0.064871,0.17693,0.22382,0.23618,0.24222,0.25455,0.21899,0.20508,0.10681
28,20.83333333,1.42669978,forest,2,2_newsoil.txt,0.021144,0.0236,0.040212,0.029315,0.057503,0.1904,0.24499,0.25674,0.26273,0.27425,0.23167,0.20294,0.092168
29,20.83333333,1.23237228,forest,2,2_newsoil.txt,0.030902,0.037855,0.058864,0.065769,0.092368,0.15936,0.18881,0.20332,0.20974,0.22468,0.20563,0.22987,0.15755
30,20.83333333,1.23237228,forest,2,2_newsoil.txt,0.027105,0.032478,0.051669,0.052717,0.079393,0.16596,0.20244,0.21595,0.22216,0.23593,0.21018,0.21808,0.13405
31,20.83333333,1.23237228,forest,2,2_newsoil.txt,0.024007,0.02798,0.045774,0.041328,0.06848,0.17451,0.21794,0.2306,0.23665,0.24938,0.21708,0.20962,0.11389
32,20.83333333,1.23237228,forest,2,2_newsoil.txt,0.022193,0.025101,0.042274,0.033001,0.06136,0.18665,0.2369,0.24896,0.25494,0.26689,0.22834,0.2073,0.099883
33,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.03158,0.038792,0.060177,0.06793,0.094718,0.15847,0.18622,0.20093,0.20737,0.22256,0.20514,0.2329,0.16202
34,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.028049,0.03379,0.053498,0.055783,0.082693,0.16438,0.19831,0.2121,0.21834,0.23246,0.20913,0.22219,0.14036
35,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.025145,0.029579,0.047988,0.045133,0.072516,0.17202,0.21205,0.22504,0.23113,0.24428,0.21519,0.21441,0.12168
36,20.83333333,1.05526548,forest,2,2_newsoil.txt,0.023397,0.026824,0.044627,0.037235,0.065737,0.18281,0.22882,0.24124,0.24725,0.25966,0.22506,0.21201,0.10849
37,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.032328,0.039827,0.061618,0.070331,0.097291,0.15754,0.18362,0.19854,0.20503,0.22047,0.20464,0.23602,0.16684
38,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.029095,0.035247,0.055517,0.059205,0.086325,0.16275,0.19418,0.20827,0.21456,0.22904,0.20809,0.22645,0.14721
39,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.026418,0.031368,0.050449,0.049403,0.076988,0.16946,0.20617,0.21953,0.22567,0.23928,0.21332,0.21942,0.1302
40,20.83333333,0.89257421,forest,2,2_newsoil.txt,0.024765,0.028779,0.047281,0.04204,0.070651,0.17891,0.22079,0.2336,0.23966,0.25259,0.22185,0.21704,0.11799
41,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.033147,0.040964,0.063189,0.07298,0.10009,0.15658,0.18103,0.19618,0.20271,0.21842,0.20416,0.23923,0.17202
42,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.030247,0.036855,0.057729,0.062993,0.090292,0.16108,0.19007,0.20448,0.21084,0.2257,0.20707,0.23086,0.1546
43,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.02783,0.033355,0.053164,0.054157,0.081904,0.16685,0.20033,0.21408,0.22029,0.23439,0.2115,0.22463,0.13942
44,20.83333333,0.74212736,forest,2,2_newsoil.txt,0.026301,0.030975,0.050245,0.047439,0.07611,0.17496,0.21281,0.22608,0.2322,0.24568,0.21873,0.22235,0.12838
